dataset_index,path,true_class,predicted_class,original_brightness
237,C:\Users\Dell\Desktop\Kacper Błachowiak - praca magisterska - klasyfikacja znaków drogowych\KB_Praca_Magisterska\data\raw\polish_traffic_signs_dataset\test\A-18b\2019_0719_150032_004 0126_0.jpg,A-18b,A-2,103.09142303466795
240,C:\Users\Dell\Desktop\Kacper Błachowiak - praca magisterska - klasyfikacja znaków drogowych\KB_Praca_Magisterska\data\raw\polish_traffic_signs_dataset\test\A-18b\2019_0721_171043_003 1011_0.jpg,A-18b,D-1,137.10694885253906
241,C:\Users\Dell\Desktop\Kacper Błachowiak - praca magisterska - klasyfikacja znaków drogowych\KB_Praca_Magisterska\data\raw\polish_traffic_signs_dataset\test\A-18b\2019_0721_171043_003 1012_0.jpg,A-18b,A-2,130.62884521484375
242,C:\Users\Dell\Desktop\Kacper Błachowiak - praca magisterska - klasyfikacja znaków drogowych\KB_Praca_Magisterska\data\raw\polish_traffic_signs_dataset\test\A-18b\2019_0721_181936_005 027_0.jpg,A-18b,A-2,49.79193115234375
244,C:\Users\Dell\Desktop\Kacper Błachowiak - praca magisterska - klasyfikacja znaków drogowych\KB_Praca_Magisterska\data\raw\polish_traffic_signs_dataset\test\A-18b\2019_0721_181936_005 108_0.jpg,A-18b,A-2,108.3505630493164
245,C:\Users\Dell\Desktop\Kacper Błachowiak - praca magisterska - klasyfikacja znaków drogowych\KB_Praca_Magisterska\data\raw\polish_traffic_signs_dataset\test\A-18b\2019_0721_181936_005 108_1.jpg,A-18b,A-32,127.32701110839844
246,C:\Users\Dell\Desktop\Kacper Błachowiak - praca magisterska - klasyfikacja znaków drogowych\KB_Praca_Magisterska\data\raw\polish_traffic_signs_dataset\test\A-18b\2019_0721_181936_005 140_0.jpg,A-18b,A-2,90.33963012695312
247,C:\Users\Dell\Desktop\Kacper Błachowiak - praca magisterska - klasyfikacja znaków drogowych\KB_Praca_Magisterska\data\raw\polish_traffic_signs_dataset\test\A-18b\2019_0721_181936_005 140_1.jpg,A-18b,A-20,128.6294403076172
248,C:\Users\Dell\Desktop\Kacper Błachowiak - praca magisterska - klasyfikacja znaków drogowych\KB_Praca_Magisterska\data\raw\polish_traffic_signs_dataset\test\A-18b\2019_0721_181936_005 187_0.jpg,A-18b,A-20,123.9477996826172
258,C:\Users\Dell\Desktop\Kacper Błachowiak - praca magisterska - klasyfikacja znaków drogowych\KB_Praca_Magisterska\data\raw\polish_traffic_signs_dataset\test\A-18b\2019_0809_155001_003 0800_0.jpg,A-18b,A-2,59.20573043823242
259,C:\Users\Dell\Desktop\Kacper Błachowiak - praca magisterska - klasyfikacja znaków drogowych\KB_Praca_Magisterska\data\raw\polish_traffic_signs_dataset\test\A-18b\2019_0809_155001_003 0801_0.jpg,A-18b,A-2,154.30801391601562
263,C:\Users\Dell\Desktop\Kacper Błachowiak - praca magisterska - klasyfikacja znaków drogowych\KB_Praca_Magisterska\data\raw\polish_traffic_signs_dataset\test\A-18b\2019_0809_155001_003 0859_1.jpg,A-18b,A-15,104.81720733642578
267,C:\Users\Dell\Desktop\Kacper Błachowiak - praca magisterska - klasyfikacja znaków drogowych\KB_Praca_Magisterska\data\raw\polish_traffic_signs_dataset\test\A-18b\2019_0809_155001_003 1684_0.jpg,A-18b,A-6d,79.56434631347656
269,C:\Users\Dell\Desktop\Kacper Błachowiak - praca magisterska - klasyfikacja znaków drogowych\KB_Praca_Magisterska\data\raw\polish_traffic_signs_dataset\test\A-18b\2019_0809_162432_004 0091_0.jpg,A-18b,A-14,131.4562225341797
270,C:\Users\Dell\Desktop\Kacper Błachowiak - praca magisterska - klasyfikacja znaków drogowych\KB_Praca_Magisterska\data\raw\polish_traffic_signs_dataset\test\A-18b\2019_0809_162432_004 0198_0.jpg,A-18b,A-2,63.19738006591797
283,C:\Users\Dell\Desktop\Kacper Błachowiak - praca magisterska - klasyfikacja znaków drogowych\KB_Praca_Magisterska\data\raw\polish_traffic_signs_dataset\test\A-18b\2019_0811_183255_004 0878_0.jpg,A-18b,A-2,29.67397689819336
284,C:\Users\Dell\Desktop\Kacper Błachowiak - praca magisterska - klasyfikacja znaków drogowych\KB_Praca_Magisterska\data\raw\polish_traffic_signs_dataset\test\A-18b\2019_0811_183255_004 1434_0.jpg,A-18b,A-2,116.43026733398438
285,C:\Users\Dell\Desktop\Kacper Błachowiak - praca magisterska - klasyfikacja znaków drogowych\KB_Praca_Magisterska\data\raw\polish_traffic_signs_dataset\test\A-18b\2019_0811_183255_004 1937_0.jpg,A-18b,A-2,55.227813720703125
287,C:\Users\Dell\Desktop\Kacper Błachowiak - praca magisterska - klasyfikacja znaków drogowych\KB_Praca_Magisterska\data\raw\polish_traffic_signs_dataset\test\A-18b\2019_0811_190715_005 028_0.jpg,A-18b,A-2,27.357585906982425
289,C:\Users\Dell\Desktop\Kacper Błachowiak - praca magisterska - klasyfikacja znaków drogowych\KB_Praca_Magisterska\data\raw\polish_traffic_signs_dataset\test\A-18b\2019_0811_190715_005 074_0.jpg,A-18b,A-2,152.94847106933594
292,C:\Users\Dell\Desktop\Kacper Błachowiak - praca magisterska - klasyfikacja znaków drogowych\KB_Praca_Magisterska\data\raw\polish_traffic_signs_dataset\test\A-18b\2019_0811_190715_005 116_1.jpg,A-18b,A-32,142.0057830810547
294,C:\Users\Dell\Desktop\Kacper Błachowiak - praca magisterska - klasyfikacja znaków drogowych\KB_Praca_Magisterska\data\raw\polish_traffic_signs_dataset\test\A-18b\2019_0811_190715_005 203_0.jpg,A-18b,A-2,11.889680862426758
296,C:\Users\Dell\Desktop\Kacper Błachowiak - praca magisterska - klasyfikacja znaków drogowych\KB_Praca_Magisterska\data\raw\polish_traffic_signs_dataset\test\A-18b\2019_0811_190715_005 244_0.jpg,A-18b,A-20,111.03411865234376
303,C:\Users\Dell\Desktop\Kacper Błachowiak - praca magisterska - klasyfikacja znaków drogowych\KB_Praca_Magisterska\data\raw\polish_traffic_signs_dataset\test\A-18b\2019_0814_154857_003 1847_0.jpg,A-18b,A-2,141.92779541015625
304,C:\Users\Dell\Desktop\Kacper Błachowiak - praca magisterska - klasyfikacja znaków drogowych\KB_Praca_Magisterska\data\raw\polish_traffic_signs_dataset\test\A-18b\2019_0814_154857_003 1847_1.jpg,A-18b,A-2,134.9732666015625
308,C:\Users\Dell\Desktop\Kacper Błachowiak - praca magisterska - klasyfikacja znaków drogowych\KB_Praca_Magisterska\data\raw\polish_traffic_signs_dataset\test\A-18b\2019_0814_162326_004 0409_0.jpg,A-18b,A-2,74.32328033447266
315,C:\Users\Dell\Desktop\Kacper Błachowiak - praca magisterska - klasyfikacja znaków drogowych\KB_Praca_Magisterska\data\raw\polish_traffic_signs_dataset\test\A-18b\2019_0815_090538_005 0952_0.jpg,A-18b,A-2,70.72581481933594
317,C:\Users\Dell\Desktop\Kacper Błachowiak - praca magisterska - klasyfikacja znaków drogowych\KB_Praca_Magisterska\data\raw\polish_traffic_signs_dataset\test\A-18b\2019_0815_090538_005 1108_0.jpg,A-18b,A-2,57.55651092529297
319,C:\Users\Dell\Desktop\Kacper Błachowiak - praca magisterska - klasyfikacja znaków drogowych\KB_Praca_Magisterska\data\raw\polish_traffic_signs_dataset\test\A-18b\2019_0815_090538_005 1817_0.jpg,A-18b,A-32,149.35569763183594
320,C:\Users\Dell\Desktop\Kacper Błachowiak - praca magisterska - klasyfikacja znaków drogowych\KB_Praca_Magisterska\data\raw\polish_traffic_signs_dataset\test\A-18b\2019_0816_172034_007 0330_0.jpg,A-18b,A-2,28.74164390563965
321,C:\Users\Dell\Desktop\Kacper Błachowiak - praca magisterska - klasyfikacja znaków drogowych\KB_Praca_Magisterska\data\raw\polish_traffic_signs_dataset\test\A-18b\2019_0816_172034_007 0449_0.jpg,A-18b,A-2,146.13821411132812
330,C:\Users\Dell\Desktop\Kacper Błachowiak - praca magisterska - klasyfikacja znaków drogowych\KB_Praca_Magisterska\data\raw\polish_traffic_signs_dataset\test\A-2\2019_0721_171043_003 1524_0.jpg,A-2,A-8,113.77465057373048
346,C:\Users\Dell\Desktop\Kacper Błachowiak - praca magisterska - klasyfikacja znaków drogowych\KB_Praca_Magisterska\data\raw\polish_traffic_signs_dataset\test\A-2\2019_0811_175830_003 1543_0.jpg,A-2,A-18b,79.078369140625
347,C:\Users\Dell\Desktop\Kacper Błachowiak - praca magisterska - klasyfikacja znaków drogowych\KB_Praca_Magisterska\data\raw\polish_traffic_signs_dataset\test\A-2\2019_0811_175830_003 1572_0.jpg,A-2,D-1,66.8159408569336
379,C:\Users\Dell\Desktop\Kacper Błachowiak - praca magisterska - klasyfikacja znaków drogowych\KB_Praca_Magisterska\data\raw\polish_traffic_signs_dataset\test\A-20\2019_0719_142601_003 0965_1.jpg,A-20,A-12a,80.2233657836914
380,C:\Users\Dell\Desktop\Kacper Błachowiak - praca magisterska - klasyfikacja znaków drogowych\KB_Praca_Magisterska\data\raw\polish_traffic_signs_dataset\test\A-20\2019_0809_155001_003 0713_0.jpg,A-20,A-12a,29.989213943481445
385,C:\Users\Dell\Desktop\Kacper Błachowiak - praca magisterska - klasyfikacja znaków drogowych\KB_Praca_Magisterska\data\raw\polish_traffic_signs_dataset\test\A-20\2019_0811_190715_005 192_0.jpg,A-20,B-1,85.6490249633789
386,C:\Users\Dell\Desktop\Kacper Błachowiak - praca magisterska - klasyfikacja znaków drogowych\KB_Praca_Magisterska\data\raw\polish_traffic_signs_dataset\test\A-21\2019_0721_181936_005 726_0.jpg,A-21,A-32,157.22206115722656
391,C:\Users\Dell\Desktop\Kacper Błachowiak - praca magisterska - klasyfikacja znaków drogowych\KB_Praca_Magisterska\data\raw\polish_traffic_signs_dataset\test\A-21\2019_0814_154857_003 0259_0.jpg,A-21,A-18b,70.28041076660156
392,C:\Users\Dell\Desktop\Kacper Błachowiak - praca magisterska - klasyfikacja znaków drogowych\KB_Praca_Magisterska\data\raw\polish_traffic_signs_dataset\test\A-24\2019_0816_172034_007 1029_0.jpg,A-24,A-17,42.86106872558594
398,C:\Users\Dell\Desktop\Kacper Błachowiak - praca magisterska - klasyfikacja znaków drogowych\KB_Praca_Magisterska\data\raw\polish_traffic_signs_dataset\test\A-29\2019_0714_142630_003 115_0.jpg,A-29,A-32,150.6672821044922
399,C:\Users\Dell\Desktop\Kacper Błachowiak - praca magisterska - klasyfikacja znaków drogowych\KB_Praca_Magisterska\data\raw\polish_traffic_signs_dataset\test\A-29\2019_0714_142630_003 115_1.jpg,A-29,A-2,37.432838439941406
400,C:\Users\Dell\Desktop\Kacper Błachowiak - praca magisterska - klasyfikacja znaków drogowych\KB_Praca_Magisterska\data\raw\polish_traffic_signs_dataset\test\A-29\2019_0714_142933_003 045_0.jpg,A-29,A-2,136.33306884765625
403,C:\Users\Dell\Desktop\Kacper Błachowiak - praca magisterska - klasyfikacja znaków drogowych\KB_Praca_Magisterska\data\raw\polish_traffic_signs_dataset\test\A-29\2019_0719_142601_003 1500_0.jpg,A-29,A-2,91.3248519897461
408,C:\Users\Dell\Desktop\Kacper Błachowiak - praca magisterska - klasyfikacja znaków drogowych\KB_Praca_Magisterska\data\raw\polish_traffic_signs_dataset\test\A-29\2019_0719_150032_004 0294_0.jpg,A-29,A-2,74.220458984375
414,C:\Users\Dell\Desktop\Kacper Błachowiak - praca magisterska - klasyfikacja znaków drogowych\KB_Praca_Magisterska\data\raw\polish_traffic_signs_dataset\test\A-29\2019_0719_150032_004 0630_0.jpg,A-29,A-8,115.81240844726562
415,C:\Users\Dell\Desktop\Kacper Błachowiak - praca magisterska - klasyfikacja znaków drogowych\KB_Praca_Magisterska\data\raw\polish_traffic_signs_dataset\test\A-29\2019_0719_150032_004 0631_0.jpg,A-29,A-32,111.52434539794922
418,C:\Users\Dell\Desktop\Kacper Błachowiak - praca magisterska - klasyfikacja znaków drogowych\KB_Praca_Magisterska\data\raw\polish_traffic_signs_dataset\test\A-29\2019_0719_150032_004 0775_0.jpg,A-29,A-2,148.4698486328125
422,C:\Users\Dell\Desktop\Kacper Błachowiak - praca magisterska - klasyfikacja znaków drogowych\KB_Praca_Magisterska\data\raw\polish_traffic_signs_dataset\test\A-29\2019_0721_171043_003 0338_0.jpg,A-29,A-32,159.55557250976562
432,C:\Users\Dell\Desktop\Kacper Błachowiak - praca magisterska - klasyfikacja znaków drogowych\KB_Praca_Magisterska\data\raw\polish_traffic_signs_dataset\test\A-29\2019_0809_162432_004 0415_0.jpg,A-29,A-2,34.76939392089844
433,C:\Users\Dell\Desktop\Kacper Błachowiak - praca magisterska - klasyfikacja znaków drogowych\KB_Praca_Magisterska\data\raw\polish_traffic_signs_dataset\test\A-29\2019_0809_162432_004 0416_0.jpg,A-29,A-2,38.413360595703125
434,C:\Users\Dell\Desktop\Kacper Błachowiak - praca magisterska - klasyfikacja znaków drogowych\KB_Praca_Magisterska\data\raw\polish_traffic_signs_dataset\test\A-29\2019_0809_162432_004 0417_0.jpg,A-29,A-2,113.45556640625
440,C:\Users\Dell\Desktop\Kacper Błachowiak - praca magisterska - klasyfikacja znaków drogowych\KB_Praca_Magisterska\data\raw\polish_traffic_signs_dataset\test\A-29\2019_0811_175830_003 0355_0.jpg,A-29,A-32,184.03445434570312
445,C:\Users\Dell\Desktop\Kacper Błachowiak - praca magisterska - klasyfikacja znaków drogowych\KB_Praca_Magisterska\data\raw\polish_traffic_signs_dataset\test\A-29\2019_0811_183255_004 0466_0.jpg,A-29,A-32,144.91921997070312
447,C:\Users\Dell\Desktop\Kacper Błachowiak - praca magisterska - klasyfikacja znaków drogowych\KB_Praca_Magisterska\data\raw\polish_traffic_signs_dataset\test\A-29\2019_0811_183255_004 1164_0.jpg,A-29,A-2,30.317991256713867
448,C:\Users\Dell\Desktop\Kacper Błachowiak - praca magisterska - klasyfikacja znaków drogowych\KB_Praca_Magisterska\data\raw\polish_traffic_signs_dataset\test\A-29\2019_0811_183255_004 1184_0.jpg,A-29,A-2,100.87425994873048
449,C:\Users\Dell\Desktop\Kacper Błachowiak - praca magisterska - klasyfikacja znaków drogowych\KB_Praca_Magisterska\data\raw\polish_traffic_signs_dataset\test\A-29\2019_0811_183255_004 1185_0.jpg,A-29,A-2,112.64674377441406
