dataset_index,path,true_class,predicted_class,original_brightness
94,C:\Users\Dell\Desktop\Kacper Błachowiak - praca magisterska - klasyfikacja znaków drogowych\KB_Praca_Magisterska\data\raw\polish_traffic_signs_dataset\test\A-14\2019_0721_171043_003 0915_0.jpg,A-14,A-16,68.38037109375
98,C:\Users\Dell\Desktop\Kacper Błachowiak - praca magisterska - klasyfikacja znaków drogowych\KB_Praca_Magisterska\data\raw\polish_traffic_signs_dataset\test\A-14\2019_0726_185626_003 153_0.jpg,A-14,A-6e,97.6478500366211
99,C:\Users\Dell\Desktop\Kacper Błachowiak - praca magisterska - klasyfikacja znaków drogowych\KB_Praca_Magisterska\data\raw\polish_traffic_signs_dataset\test\A-14\2019_0809_155001_003 0443_0.jpg,A-14,A-16,142.06805419921875
101,C:\Users\Dell\Desktop\Kacper Błachowiak - praca magisterska - klasyfikacja znaków drogowych\KB_Praca_Magisterska\data\raw\polish_traffic_signs_dataset\test\A-14\2019_0814_154857_003 0129_0.jpg,A-14,A-4,82.0584716796875
103,C:\Users\Dell\Desktop\Kacper Błachowiak - praca magisterska - klasyfikacja znaków drogowych\KB_Praca_Magisterska\data\raw\polish_traffic_signs_dataset\test\A-15\2019_0815_090538_005 0909_0.jpg,A-15,C-13,39.73136520385742
105,C:\Users\Dell\Desktop\Kacper Błachowiak - praca magisterska - klasyfikacja znaków drogowych\KB_Praca_Magisterska\data\raw\polish_traffic_signs_dataset\test\A-15\2019_0929_154947_042 088_0.jpg,A-15,A-6c,98.46318817138672
108,C:\Users\Dell\Desktop\Kacper Błachowiak - praca magisterska - klasyfikacja znaków drogowych\KB_Praca_Magisterska\data\raw\polish_traffic_signs_dataset\test\A-16\2019_0714_142630_003 131_0.jpg,A-16,A-20,157.69239807128906
109,C:\Users\Dell\Desktop\Kacper Błachowiak - praca magisterska - klasyfikacja znaków drogowych\KB_Praca_Magisterska\data\raw\polish_traffic_signs_dataset\test\A-16\2019_0714_142630_003 131_1.jpg,A-16,A-17,74.54837036132812
119,C:\Users\Dell\Desktop\Kacper Błachowiak - praca magisterska - klasyfikacja znaków drogowych\KB_Praca_Magisterska\data\raw\polish_traffic_signs_dataset\test\A-16\2019_0719_142601_003 2050_0.jpg,A-16,A-32,70.94839477539062
125,C:\Users\Dell\Desktop\Kacper Błachowiak - praca magisterska - klasyfikacja znaków drogowych\KB_Praca_Magisterska\data\raw\polish_traffic_signs_dataset\test\A-16\2019_0721_171043_003 0534_0.jpg,A-16,A-17,63.358280181884766
129,C:\Users\Dell\Desktop\Kacper Błachowiak - praca magisterska - klasyfikacja znaków drogowych\KB_Praca_Magisterska\data\raw\polish_traffic_signs_dataset\test\A-16\2019_0721_171043_003 0749_0.jpg,A-16,A-4,139.92787170410156
151,C:\Users\Dell\Desktop\Kacper Błachowiak - praca magisterska - klasyfikacja znaków drogowych\KB_Praca_Magisterska\data\raw\polish_traffic_signs_dataset\test\A-16\2019_0811_183255_004 1476_0.jpg,A-16,A-1,63.69866180419922
164,C:\Users\Dell\Desktop\Kacper Błachowiak - praca magisterska - klasyfikacja znaków drogowych\KB_Praca_Magisterska\data\raw\polish_traffic_signs_dataset\test\A-17\2019_0719_142601_003 1132_0.jpg,A-17,A-6d,180.44407653808597
168,C:\Users\Dell\Desktop\Kacper Błachowiak - praca magisterska - klasyfikacja znaków drogowych\KB_Praca_Magisterska\data\raw\polish_traffic_signs_dataset\test\A-17\2019_0719_142601_003 2052_0.jpg,A-17,A-30,66.88863372802734
176,C:\Users\Dell\Desktop\Kacper Błachowiak - praca magisterska - klasyfikacja znaków drogowych\KB_Praca_Magisterska\data\raw\polish_traffic_signs_dataset\test\A-17\2019_0719_150032_004 0739_0.jpg,A-17,A-20,170.18882751464844
200,C:\Users\Dell\Desktop\Kacper Błachowiak - praca magisterska - klasyfikacja znaków drogowych\KB_Praca_Magisterska\data\raw\polish_traffic_signs_dataset\test\A-17\2019_0811_183255_004 0109_0.jpg,A-17,D-6,75.47297668457031
242,C:\Users\Dell\Desktop\Kacper Błachowiak - praca magisterska - klasyfikacja znaków drogowych\KB_Praca_Magisterska\data\raw\polish_traffic_signs_dataset\test\A-18b\2019_0721_181936_005 027_0.jpg,A-18b,A-16,49.79193115234375
283,C:\Users\Dell\Desktop\Kacper Błachowiak - praca magisterska - klasyfikacja znaków drogowych\KB_Praca_Magisterska\data\raw\polish_traffic_signs_dataset\test\A-18b\2019_0811_183255_004 0878_0.jpg,A-18b,A-11,29.67397689819336
284,C:\Users\Dell\Desktop\Kacper Błachowiak - praca magisterska - klasyfikacja znaków drogowych\KB_Praca_Magisterska\data\raw\polish_traffic_signs_dataset\test\A-18b\2019_0811_183255_004 1434_0.jpg,A-18b,A-11,116.43026733398438
285,C:\Users\Dell\Desktop\Kacper Błachowiak - praca magisterska - klasyfikacja znaków drogowych\KB_Praca_Magisterska\data\raw\polish_traffic_signs_dataset\test\A-18b\2019_0811_183255_004 1937_0.jpg,A-18b,A-4,55.227813720703125
287,C:\Users\Dell\Desktop\Kacper Błachowiak - praca magisterska - klasyfikacja znaków drogowych\KB_Praca_Magisterska\data\raw\polish_traffic_signs_dataset\test\A-18b\2019_0811_190715_005 028_0.jpg,A-18b,A-3,27.357585906982425
326,C:\Users\Dell\Desktop\Kacper Błachowiak - praca magisterska - klasyfikacja znaków drogowych\KB_Praca_Magisterska\data\raw\polish_traffic_signs_dataset\test\A-2\2019_0719_142601_003 1209_0.jpg,A-2,A-1,182.77479553222656
329,C:\Users\Dell\Desktop\Kacper Błachowiak - praca magisterska - klasyfikacja znaków drogowych\KB_Praca_Magisterska\data\raw\polish_traffic_signs_dataset\test\A-2\2019_0721_171043_003 1523_0.jpg,A-2,A-1,42.00796508789063
330,C:\Users\Dell\Desktop\Kacper Błachowiak - praca magisterska - klasyfikacja znaków drogowych\KB_Praca_Magisterska\data\raw\polish_traffic_signs_dataset\test\A-2\2019_0721_171043_003 1524_0.jpg,A-2,A-1,113.77465057373048
331,C:\Users\Dell\Desktop\Kacper Błachowiak - praca magisterska - klasyfikacja znaków drogowych\KB_Praca_Magisterska\data\raw\polish_traffic_signs_dataset\test\A-2\2019_0721_171043_003 1553_0.jpg,A-2,A-1,92.02337646484376
332,C:\Users\Dell\Desktop\Kacper Błachowiak - praca magisterska - klasyfikacja znaków drogowych\KB_Praca_Magisterska\data\raw\polish_traffic_signs_dataset\test\A-2\2019_0721_171043_003 1554_0.jpg,A-2,A-1,80.91597747802734
333,C:\Users\Dell\Desktop\Kacper Błachowiak - praca magisterska - klasyfikacja znaków drogowych\KB_Praca_Magisterska\data\raw\polish_traffic_signs_dataset\test\A-2\2019_0721_171043_003 1787_0.jpg,A-2,A-1,75.79511260986328
334,C:\Users\Dell\Desktop\Kacper Błachowiak - praca magisterska - klasyfikacja znaków drogowych\KB_Praca_Magisterska\data\raw\polish_traffic_signs_dataset\test\A-2\2019_0721_171043_003 1788_0.jpg,A-2,A-1,102.43988037109376
335,C:\Users\Dell\Desktop\Kacper Błachowiak - praca magisterska - klasyfikacja znaków drogowych\KB_Praca_Magisterska\data\raw\polish_traffic_signs_dataset\test\A-2\2019_0726_185626_003 195_0.jpg,A-2,A-1,93.76904296875
337,C:\Users\Dell\Desktop\Kacper Błachowiak - praca magisterska - klasyfikacja znaków drogowych\KB_Praca_Magisterska\data\raw\polish_traffic_signs_dataset\test\A-2\2019_0726_185626_003 409_0.jpg,A-2,A-1,105.7553482055664
339,C:\Users\Dell\Desktop\Kacper Błachowiak - praca magisterska - klasyfikacja znaków drogowych\KB_Praca_Magisterska\data\raw\polish_traffic_signs_dataset\test\A-2\2019_0726_185626_003 442_0.jpg,A-2,A-1,77.64794921875
340,C:\Users\Dell\Desktop\Kacper Błachowiak - praca magisterska - klasyfikacja znaków drogowych\KB_Praca_Magisterska\data\raw\polish_traffic_signs_dataset\test\A-2\2019_0726_185626_003 443_0.jpg,A-2,A-1,158.98431396484375
345,C:\Users\Dell\Desktop\Kacper Błachowiak - praca magisterska - klasyfikacja znaków drogowych\KB_Praca_Magisterska\data\raw\polish_traffic_signs_dataset\test\A-2\2019_0811_175830_003 1542_0.jpg,A-2,A-1,47.706504821777344
346,C:\Users\Dell\Desktop\Kacper Błachowiak - praca magisterska - klasyfikacja znaków drogowych\KB_Praca_Magisterska\data\raw\polish_traffic_signs_dataset\test\A-2\2019_0811_175830_003 1543_0.jpg,A-2,A-1,79.078369140625
347,C:\Users\Dell\Desktop\Kacper Błachowiak - praca magisterska - klasyfikacja znaków drogowych\KB_Praca_Magisterska\data\raw\polish_traffic_signs_dataset\test\A-2\2019_0811_175830_003 1572_0.jpg,A-2,A-1,66.8159408569336
348,C:\Users\Dell\Desktop\Kacper Błachowiak - praca magisterska - klasyfikacja znaków drogowych\KB_Praca_Magisterska\data\raw\polish_traffic_signs_dataset\test\A-2\2019_0811_175830_003 1797_0.jpg,A-2,A-1,74.97899627685547
349,C:\Users\Dell\Desktop\Kacper Błachowiak - praca magisterska - klasyfikacja znaków drogowych\KB_Praca_Magisterska\data\raw\polish_traffic_signs_dataset\test\A-2\2019_0811_183255_004 0741_0.jpg,A-2,A-1,51.60939407348633
351,C:\Users\Dell\Desktop\Kacper Błachowiak - praca magisterska - klasyfikacja znaków drogowych\KB_Praca_Magisterska\data\raw\polish_traffic_signs_dataset\test\A-2\2019_0815_090538_005 0954_0.jpg,A-2,A-3,37.55370330810547
353,C:\Users\Dell\Desktop\Kacper Błachowiak - praca magisterska - klasyfikacja znaków drogowych\KB_Praca_Magisterska\data\raw\polish_traffic_signs_dataset\test\A-2\2019_0815_090538_005 1934_0.jpg,A-2,A-1,153.19952392578125
354,C:\Users\Dell\Desktop\Kacper Błachowiak - praca magisterska - klasyfikacja znaków drogowych\KB_Praca_Magisterska\data\raw\polish_traffic_signs_dataset\test\A-2\2019_0815_090538_005 1962_0.jpg,A-2,A-1,79.87057495117188
355,C:\Users\Dell\Desktop\Kacper Błachowiak - praca magisterska - klasyfikacja znaków drogowych\KB_Praca_Magisterska\data\raw\polish_traffic_signs_dataset\test\A-2\2019_0815_090538_005 1963_0.jpg,A-2,A-1,144.97012329101562
358,C:\Users\Dell\Desktop\Kacper Błachowiak - praca magisterska - klasyfikacja znaków drogowych\KB_Praca_Magisterska\data\raw\polish_traffic_signs_dataset\test\A-2\2019_0816_172034_007 1006_0.jpg,A-2,A-1,67.52578735351562
359,C:\Users\Dell\Desktop\Kacper Błachowiak - praca magisterska - klasyfikacja znaków drogowych\KB_Praca_Magisterska\data\raw\polish_traffic_signs_dataset\test\A-2\2019_0818_131042_009 0079_0.jpg,A-2,A-1,31.072683334350582
360,C:\Users\Dell\Desktop\Kacper Błachowiak - praca magisterska - klasyfikacja znaków drogowych\KB_Praca_Magisterska\data\raw\polish_traffic_signs_dataset\test\A-2\2019_0818_131042_009 0359_0.jpg,A-2,A-1,107.85519409179688
361,C:\Users\Dell\Desktop\Kacper Błachowiak - praca magisterska - klasyfikacja znaków drogowych\KB_Praca_Magisterska\data\raw\polish_traffic_signs_dataset\test\A-2\2019_0818_131042_009 0397_0.jpg,A-2,A-1,98.92420959472656
364,C:\Users\Dell\Desktop\Kacper Błachowiak - praca magisterska - klasyfikacja znaków drogowych\KB_Praca_Magisterska\data\raw\polish_traffic_signs_dataset\test\A-2\2019_0818_131042_009 0966_0.jpg,A-2,A-1,78.70457458496094
366,C:\Users\Dell\Desktop\Kacper Błachowiak - praca magisterska - klasyfikacja znaków drogowych\KB_Praca_Magisterska\data\raw\polish_traffic_signs_dataset\test\A-2\2019_0901_165821_014 0333_0.jpg,A-2,A-1,96.17205047607422
368,C:\Users\Dell\Desktop\Kacper Błachowiak - praca magisterska - klasyfikacja znaków drogowych\KB_Praca_Magisterska\data\raw\polish_traffic_signs_dataset\test\A-2\2019_0901_165821_014 0431_0.jpg,A-2,A-1,114.42269897460938
373,C:\Users\Dell\Desktop\Kacper Błachowiak - praca magisterska - klasyfikacja znaków drogowych\KB_Praca_Magisterska\data\raw\polish_traffic_signs_dataset\test\A-2\2019_0905_182313_001 1405_0.jpg,A-2,A-1,80.62835693359375
382,C:\Users\Dell\Desktop\Kacper Błachowiak - praca magisterska - klasyfikacja znaków drogowych\KB_Praca_Magisterska\data\raw\polish_traffic_signs_dataset\test\A-20\2019_0809_155001_003 1159_1.jpg,A-20,A-12a,175.2388458251953
385,C:\Users\Dell\Desktop\Kacper Błachowiak - praca magisterska - klasyfikacja znaków drogowych\KB_Praca_Magisterska\data\raw\polish_traffic_signs_dataset\test\A-20\2019_0811_190715_005 192_0.jpg,A-20,A-6e,85.6490249633789
395,C:\Users\Dell\Desktop\Kacper Błachowiak - praca magisterska - klasyfikacja znaków drogowych\KB_Praca_Magisterska\data\raw\polish_traffic_signs_dataset\test\A-24\2019_0818_131042_009 0268_0.jpg,A-24,A-17,147.68695068359375
396,C:\Users\Dell\Desktop\Kacper Błachowiak - praca magisterska - klasyfikacja znaków drogowych\KB_Praca_Magisterska\data\raw\polish_traffic_signs_dataset\test\A-24\2019_0920_161014_042 0175_0.jpg,A-24,A-16,165.88392639160156
461,C:\Users\Dell\Desktop\Kacper Błachowiak - praca magisterska - klasyfikacja znaków drogowych\KB_Praca_Magisterska\data\raw\polish_traffic_signs_dataset\test\A-3\2019_0721_171043_003 0787_0.jpg,A-3,A-4,111.82996368408205
462,C:\Users\Dell\Desktop\Kacper Błachowiak - praca magisterska - klasyfikacja znaków drogowych\KB_Praca_Magisterska\data\raw\polish_traffic_signs_dataset\test\A-3\2019_0721_171043_003 0788_0.jpg,A-3,A-4,160.23141479492188
463,C:\Users\Dell\Desktop\Kacper Błachowiak - praca magisterska - klasyfikacja znaków drogowych\KB_Praca_Magisterska\data\raw\polish_traffic_signs_dataset\test\A-3\2019_0721_171043_003 0838_0.jpg,A-3,A-4,95.95484161376952
464,C:\Users\Dell\Desktop\Kacper Błachowiak - praca magisterska - klasyfikacja znaków drogowych\KB_Praca_Magisterska\data\raw\polish_traffic_signs_dataset\test\A-3\2019_0721_171043_003 0839_0.jpg,A-3,A-4,88.49559783935547
466,C:\Users\Dell\Desktop\Kacper Błachowiak - praca magisterska - klasyfikacja znaków drogowych\KB_Praca_Magisterska\data\raw\polish_traffic_signs_dataset\test\A-3\2019_0721_171043_003 0867_0.jpg,A-3,A-4,160.91258239746094
468,C:\Users\Dell\Desktop\Kacper Błachowiak - praca magisterska - klasyfikacja znaków drogowych\KB_Praca_Magisterska\data\raw\polish_traffic_signs_dataset\test\A-3\2019_0721_171043_003 0942_0.jpg,A-3,A-4,173.8433837890625
469,C:\Users\Dell\Desktop\Kacper Błachowiak - praca magisterska - klasyfikacja znaków drogowych\KB_Praca_Magisterska\data\raw\polish_traffic_signs_dataset\test\A-3\2019_0721_171043_003 1742_0.jpg,A-3,A-4,106.39016723632812
471,C:\Users\Dell\Desktop\Kacper Błachowiak - praca magisterska - klasyfikacja znaków drogowych\KB_Praca_Magisterska\data\raw\polish_traffic_signs_dataset\test\A-3\2019_0726_185626_003 959_0.jpg,A-3,A-4,191.68194580078125
473,C:\Users\Dell\Desktop\Kacper Błachowiak - praca magisterska - klasyfikacja znaków drogowych\KB_Praca_Magisterska\data\raw\polish_traffic_signs_dataset\test\A-3\2019_0811_175830_003 0751_0.jpg,A-3,A-4,206.37533569335935
474,C:\Users\Dell\Desktop\Kacper Błachowiak - praca magisterska - klasyfikacja znaków drogowych\KB_Praca_Magisterska\data\raw\polish_traffic_signs_dataset\test\A-3\2019_0811_175830_003 0820_0.jpg,A-3,A-4,137.48509216308594
475,C:\Users\Dell\Desktop\Kacper Błachowiak - praca magisterska - klasyfikacja znaków drogowych\KB_Praca_Magisterska\data\raw\polish_traffic_signs_dataset\test\A-3\2019_0811_175830_003 0821_0.jpg,A-3,A-4,128.2395782470703
476,C:\Users\Dell\Desktop\Kacper Błachowiak - praca magisterska - klasyfikacja znaków drogowych\KB_Praca_Magisterska\data\raw\polish_traffic_signs_dataset\test\A-3\2019_0811_175830_003 0822_0.jpg,A-3,A-4,177.39869689941406
477,C:\Users\Dell\Desktop\Kacper Błachowiak - praca magisterska - klasyfikacja znaków drogowych\KB_Praca_Magisterska\data\raw\polish_traffic_signs_dataset\test\A-3\2019_0811_175830_003 0854_0.jpg,A-3,A-4,200.0588836669922
478,C:\Users\Dell\Desktop\Kacper Błachowiak - praca magisterska - klasyfikacja znaków drogowych\KB_Praca_Magisterska\data\raw\polish_traffic_signs_dataset\test\A-3\2019_0811_175830_003 0935_0.jpg,A-3,A-4,188.7956695556641
479,C:\Users\Dell\Desktop\Kacper Błachowiak - praca magisterska - klasyfikacja znaków drogowych\KB_Praca_Magisterska\data\raw\polish_traffic_signs_dataset\test\A-3\2019_0811_175830_003 0936_0.jpg,A-3,A-4,182.6444854736328
480,C:\Users\Dell\Desktop\Kacper Błachowiak - praca magisterska - klasyfikacja znaków drogowych\KB_Praca_Magisterska\data\raw\polish_traffic_signs_dataset\test\A-3\2019_0811_175830_003 1754_0.jpg,A-3,A-4,107.93081665039062
481,C:\Users\Dell\Desktop\Kacper Błachowiak - praca magisterska - klasyfikacja znaków drogowych\KB_Praca_Magisterska\data\raw\polish_traffic_signs_dataset\test\A-3\2019_0815_090538_005 0982_0.jpg,A-3,A-4,50.64942932128906
483,C:\Users\Dell\Desktop\Kacper Błachowiak - praca magisterska - klasyfikacja znaków drogowych\KB_Praca_Magisterska\data\raw\polish_traffic_signs_dataset\test\A-3\2019_0815_094007_006 428_0.jpg,A-3,A-4,133.63035583496094
484,C:\Users\Dell\Desktop\Kacper Błachowiak - praca magisterska - klasyfikacja znaków drogowych\KB_Praca_Magisterska\data\raw\polish_traffic_signs_dataset\test\A-3\2019_0815_094007_006 429_0.jpg,A-3,A-4,141.96011352539062
488,C:\Users\Dell\Desktop\Kacper Błachowiak - praca magisterska - klasyfikacja znaków drogowych\KB_Praca_Magisterska\data\raw\polish_traffic_signs_dataset\test\A-3\2019_0816_172034_007 0733_0.jpg,A-3,A-4,99.13502502441406
489,C:\Users\Dell\Desktop\Kacper Błachowiak - praca magisterska - klasyfikacja znaków drogowych\KB_Praca_Magisterska\data\raw\polish_traffic_signs_dataset\test\A-3\2019_0816_172034_007 0734_0.jpg,A-3,A-4,77.10630798339844
492,C:\Users\Dell\Desktop\Kacper Błachowiak - praca magisterska - klasyfikacja znaków drogowych\KB_Praca_Magisterska\data\raw\polish_traffic_signs_dataset\test\A-3\2019_0905_182313_001 1330_0.jpg,A-3,A-4,91.23532104492188
497,C:\Users\Dell\Desktop\Kacper Błachowiak - praca magisterska - klasyfikacja znaków drogowych\KB_Praca_Magisterska\data\raw\polish_traffic_signs_dataset\test\A-30\2019_0714_142630_003 123_1.jpg,A-30,A-18b,59.43988037109375
499,C:\Users\Dell\Desktop\Kacper Błachowiak - praca magisterska - klasyfikacja znaków drogowych\KB_Praca_Magisterska\data\raw\polish_traffic_signs_dataset\test\A-30\2019_0714_142630_003 127_1.jpg,A-30,A-20,160.5487518310547
501,C:\Users\Dell\Desktop\Kacper Błachowiak - praca magisterska - klasyfikacja znaków drogowych\KB_Praca_Magisterska\data\raw\polish_traffic_signs_dataset\test\A-30\2019_0719_142601_003 0222_0.jpg,A-30,A-6b,110.9136962890625
502,C:\Users\Dell\Desktop\Kacper Błachowiak - praca magisterska - klasyfikacja znaków drogowych\KB_Praca_Magisterska\data\raw\polish_traffic_signs_dataset\test\A-30\2019_0719_142601_003 0223_0.jpg,A-30,A-12a,148.34249877929688
512,C:\Users\Dell\Desktop\Kacper Błachowiak - praca magisterska - klasyfikacja znaków drogowych\KB_Praca_Magisterska\data\raw\polish_traffic_signs_dataset\test\A-30\2019_0719_142601_003 1297_0.jpg,A-30,A-12a,181.12266540527344
521,C:\Users\Dell\Desktop\Kacper Błachowiak - praca magisterska - klasyfikacja znaków drogowych\KB_Praca_Magisterska\data\raw\polish_traffic_signs_dataset\test\A-30\2019_0719_142601_003 1662_0.jpg,A-30,A-6b,90.11219787597656
525,C:\Users\Dell\Desktop\Kacper Błachowiak - praca magisterska - klasyfikacja znaków drogowych\KB_Praca_Magisterska\data\raw\polish_traffic_signs_dataset\test\A-30\2019_0719_142601_003 1839_0.jpg,A-30,A-6c,114.0543975830078
587,C:\Users\Dell\Desktop\Kacper Błachowiak - praca magisterska - klasyfikacja znaków drogowych\KB_Praca_Magisterska\data\raw\polish_traffic_signs_dataset\test\A-30\2019_0809_162432_004 1419_0.jpg,A-30,A-6c,126.7948226928711
639,C:\Users\Dell\Desktop\Kacper Błachowiak - praca magisterska - klasyfikacja znaków drogowych\KB_Praca_Magisterska\data\raw\polish_traffic_signs_dataset\test\A-32\2019_0721_181936_005 534_1.jpg,A-32,D-1,135.82908630371094
663,C:\Users\Dell\Desktop\Kacper Błachowiak - praca magisterska - klasyfikacja znaków drogowych\KB_Praca_Magisterska\data\raw\polish_traffic_signs_dataset\test\A-32\2019_0814_154857_003 0766_0.jpg,A-32,A-30,151.30799865722656
678,C:\Users\Dell\Desktop\Kacper Błachowiak - praca magisterska - klasyfikacja znaków drogowych\KB_Praca_Magisterska\data\raw\polish_traffic_signs_dataset\test\A-32\2019_0816_172034_007 0523_0.jpg,A-32,A-17,68.58885192871094
682,C:\Users\Dell\Desktop\Kacper Błachowiak - praca magisterska - klasyfikacja znaków drogowych\KB_Praca_Magisterska\data\raw\polish_traffic_signs_dataset\test\A-4\2019_0719_150032_004 0408_0.jpg,A-4,A-3,73.84083557128906
683,C:\Users\Dell\Desktop\Kacper Błachowiak - praca magisterska - klasyfikacja znaków drogowych\KB_Praca_Magisterska\data\raw\polish_traffic_signs_dataset\test\A-4\2019_0719_150032_004 0409_0.jpg,A-4,A-3,71.18599700927734
684,C:\Users\Dell\Desktop\Kacper Błachowiak - praca magisterska - klasyfikacja znaków drogowych\KB_Praca_Magisterska\data\raw\polish_traffic_signs_dataset\test\A-4\2019_0721_171043_003 1027_0.jpg,A-4,A-3,50.87739562988281
685,C:\Users\Dell\Desktop\Kacper Błachowiak - praca magisterska - klasyfikacja znaków drogowych\KB_Praca_Magisterska\data\raw\polish_traffic_signs_dataset\test\A-4\2019_0721_171043_003 1028_0.jpg,A-4,A-3,47.6489486694336
686,C:\Users\Dell\Desktop\Kacper Błachowiak - praca magisterska - klasyfikacja znaków drogowych\KB_Praca_Magisterska\data\raw\polish_traffic_signs_dataset\test\A-4\2019_0721_171043_003 1341_0.jpg,A-4,A-3,28.260215759277344
691,C:\Users\Dell\Desktop\Kacper Błachowiak - praca magisterska - klasyfikacja znaków drogowych\KB_Praca_Magisterska\data\raw\polish_traffic_signs_dataset\test\A-4\2019_0811_175830_003 1704_0.jpg,A-4,D-42,98.05628967285156
692,C:\Users\Dell\Desktop\Kacper Błachowiak - praca magisterska - klasyfikacja znaków drogowych\KB_Praca_Magisterska\data\raw\polish_traffic_signs_dataset\test\A-4\2019_0811_183255_004 0404_0.jpg,A-4,A-3,57.13188171386719
693,C:\Users\Dell\Desktop\Kacper Błachowiak - praca magisterska - klasyfikacja znaków drogowych\KB_Praca_Magisterska\data\raw\polish_traffic_signs_dataset\test\A-4\2019_0816_172034_007 0437_0.jpg,A-4,A-3,39.65398406982422
694,C:\Users\Dell\Desktop\Kacper Błachowiak - praca magisterska - klasyfikacja znaków drogowych\KB_Praca_Magisterska\data\raw\polish_traffic_signs_dataset\test\A-4\2019_0816_172034_007 0438_0.jpg,A-4,A-3,57.95256805419922
697,C:\Users\Dell\Desktop\Kacper Błachowiak - praca magisterska - klasyfikacja znaków drogowych\KB_Praca_Magisterska\data\raw\polish_traffic_signs_dataset\test\A-4\2019_0816_172034_007 0806_0.jpg,A-4,A-3,74.69154357910156
698,C:\Users\Dell\Desktop\Kacper Błachowiak - praca magisterska - klasyfikacja znaków drogowych\KB_Praca_Magisterska\data\raw\polish_traffic_signs_dataset\test\A-4\2019_0901_165821_014 1238_0.jpg,A-4,A-3,19.664875030517575
703,C:\Users\Dell\Desktop\Kacper Błachowiak - praca magisterska - klasyfikacja znaków drogowych\KB_Praca_Magisterska\data\raw\polish_traffic_signs_dataset\test\A-4\2019_0927_161359_043 0997_0.jpg,A-4,A-3,72.33975219726562
705,C:\Users\Dell\Desktop\Kacper Błachowiak - praca magisterska - klasyfikacja znaków drogowych\KB_Praca_Magisterska\data\raw\polish_traffic_signs_dataset\test\A-4\2019_0929_143436_042 1090_0.jpg,A-4,A-3,53.62324905395508
706,C:\Users\Dell\Desktop\Kacper Błachowiak - praca magisterska - klasyfikacja znaków drogowych\KB_Praca_Magisterska\data\raw\polish_traffic_signs_dataset\test\A-4\2019_1030_165838_043 0549_0.jpg,A-4,A-3,76.30192565917969
